,DEPT,TDEP,BS,CALI,TENS,TEM2,NPHI,NDSN,FDSN,NRAT,NLIM,NPHS,NPHD,GR,DCAL,BHV,AHV,BHVT,AHVT,RHOB,DRHO,PE,DPHI,DLIM,DPHD,DPHS,CS,MINM,RT90,RT60,RT30,RT20,RT10,NHI,NLO,NBA,NDE,NPK,NLI,FHI,FLO,FBA,FDE,FPK,FLI,DT,TTI,VP,VS,RHO_MIN,VP/VS,AI,COR_RHO,clusters,LIT,IGR,VSH
356,5074.7676,5074.7676,12.25,11.7631,7377.6358,-23.0529,6.6956,17494.9689,3110.7331,5.904,6.6956,10.4449,5.3438,16.1843,-0.4869,0.0053,0.0018,3.924,1.3786,2.6589,-0.0244,3.8409,-0.005386999999999999,2.989,11.2894,-0.5387,3.8648,0.0,692.1503,707.6235,737.5061,801.2572,883.5214,147.549,147.8268,9519.1033,5746.5489,3164.731,2907.3572,92.8267,92.7147,3592.3545,3052.6712,1607.402,976.2546,57.331,8.187,5316.495438767856,2925.8909,2.8497048370709206,1.8170518575524948,1999.5093605505494,2.6345,0,0,0.23192731704614705,0.12514324167345917
357,5074.6152,5074.6152,12.25,11.7581,7251.5638,-23.0529,6.8401,17266.9119,3012.1319,5.9651,6.8401,10.6077,5.4856,15.2914,-0.4919,0.0053,0.0018,3.9357,1.3825,2.6411,-0.0235,3.7723,0.005377,4.0276,12.2392,0.5377,4.0,0.0,729.1806,741.9742,767.4899,825.013,900.6353,140.4527,148.9039,9414.9467,5740.6577,3218.639,2938.1538,82.6229,96.02,3590.3578,3076.9651,1596.6562,975.0386,57.7924,8.2159,5274.049875070078,2918.738,2.8350180710799386,1.8069623953965148,1996.9141172504178,2.6176,0,0,0.2121411556146474,0.1128285798613258
358,5074.4628,5074.4628,12.25,11.7674,7198.549,-23.0529,7.5525,17060.6555,2822.8443,6.2655,7.5525,11.4055,6.1826,14.2716,-0.4826,0.0053,0.0018,3.9458,1.3858,2.5762,-0.0239,4.0458,0.04472400000000001,7.8242,15.7109,4.4724,4.1372,0.0,772.5504,781.6942,801.4595,850.856,918.6782,141.1491,150.3517,9373.3589,5766.8114,3295.203,2956.9807,88.1187,92.767,3603.7645,3074.6502,1606.064,978.9745,58.3342,8.245,5225.065227602333,2910.4841,2.786662700451608,1.7952563878297232,2028.20636115299,2.5523000000000002,0,0,0.18954296160877512,0.09917080791278113
359,5074.3104,5074.3104,12.25,11.7741,7230.8465,-23.0529,9.5173,15682.9655,2376.0811,7.0843,9.5173,13.5933,8.1002,14.5797,-0.4759,0.0054,0.0018,3.9573,1.3896,2.5135,-0.0255,4.367,0.08270200000000001,11.4887,19.0619,8.2702,4.9168,0.0,829.9375,833.853,845.5482,882.9806,940.704,146.5958,150.1262,9551.4485,5839.4369,3299.457,2945.6962,83.1057,74.7422,3604.9358,2960.3044,1686.0818,1005.5981,59.0676,8.2745,5160.189342380594,2895.1826,2.7778790862783715,1.782336392788036,2052.989593149232,2.488,0,0,0.19637028419478147,0.10325205514164981
360,5074.158,5074.158,12.25,11.7727,7386.055,-23.0529,11.4404,16064.3906,2174.8376,7.8605,11.4404,15.6995,9.9637,15.0762,-0.4773,0.0054,0.0018,3.9678,1.3931,2.5098,-0.021,4.5156,0.084944,11.7051,19.2598,8.4944,4.8,0.0,890.5076,888.44,891.0034,906.7063,936.5875,148.585,154.4416,9583.3209,5812.1236,3266.7455,2937.5381,92.719,87.2001,3621.9595,3063.1826,1642.3664,991.6092,59.8676,8.3044,5091.23465781157,2866.951,2.834023640576515,1.7758359965494592,2028.5419785686393,2.4888,0,0,0.20737244473990363,0.10991076752027479
361,5074.0056,5074.0056,12.25,11.7721,7376.0438,-23.0529,13.1224,15966.0508,1980.5233,8.5287,13.1224,17.526,11.5876,14.508,-0.4779,0.0054,0.0018,3.979,1.3968,2.5079,-0.0155,4.6592,0.086101,11.8167,19.3618,8.6101,4.8,0.0,959.0978,950.1917,942.1391,955.1672,985.6843,137.5837,154.1392,9520.5906,5773.8815,3309.4666,2988.8335,88.0248,83.8143,3638.7522,3143.6436,1688.1597,948.3444,60.3511,8.3346,5050.446470735413,2846.8474,2.8867049734338885,1.774048882722969,2013.8149331055517,2.4924,0,0,0.19478145255110518,0.10229882938042606
362,5073.8532,5073.8532,12.25,11.7747,7394.2189,-23.0529,13.3188,15424.5791,1884.2495,8.6059,13.3188,17.7373,11.7765,13.5112,-0.4753,0.0054,0.0018,3.9872,1.3995,2.4973,-0.0133,4.7425,0.09256,12.44,19.9318,9.256,4.8936,0.0,1008.4938,994.8457,979.0246,989.5435,1010.1874,144.3914,146.2994,9545.4526,5821.6986,3321.9819,2981.9086,86.2325,89.2387,3636.2502,3033.2689,1654.4781,1020.633,60.3197,8.3648,5053.075529221796,2848.1438,2.881016875631625,1.7741644685569933,2023.415500429182,2.484,0,0,0.1726929255996898,0.08926194155099097
363,5073.7008,5073.7008,12.25,11.7863,7286.777,-23.0529,13.5234,15542.0395,1868.9632,8.6869,13.5234,17.9574,11.9732,12.235,-0.4637,0.0054,0.0018,4.0007,1.404,2.4781,-0.0148,4.763,0.10417299999999999,13.5605,20.9564,10.4173,5.0,0.0,1083.1515,1062.8787,1035.4851,1032.3686,1037.7136,146.3145,140.8536,9492.2452,5753.3977,3228.7738,2906.5224,84.2323,90.0628,3446.3309,2852.6967,1457.4431,911.0206,60.1597,8.3949,5066.514626901398,2854.7683,2.865630702409669,1.7747551029564386,2044.5158092495853,2.4633,0,0,0.14441305190848153,0.07314312750502942
364,5073.5484,5073.5484,12.25,11.7797,7281.3072,-23.0529,13.7,15068.2422,1943.8524,8.756,13.7,18.1468,12.1429,12.6094,-0.4703,0.0054,0.0018,4.0089,1.4067,2.4667,-0.0174,4.7525,0.111098,14.2287,21.5674,11.1098,5.0,0.0,1121.5106,1097.9614,1064.8096,1054.17,1051.6833,136.5512,144.2169,9307.9581,5717.1417,3298.81,3032.8835,89.8299,83.0353,3350.6262,2836.2308,1538.8927,944.6083,60.3515,8.4251,5050.4129971914535,2846.8325,2.858285052143685,1.7740464050983364,2047.4370605227446,2.4493,0,0,0.15270954517755253,0.07780659731493686
365,5073.396,5073.396,12.25,11.7871,7328.723,-23.0529,15.0475,15263.0556,1743.886,9.2769,15.0475,19.587,13.435,14.2941,-0.4629,0.0054,0.0018,4.0224,1.4112,2.46,-0.0213,4.8924,0.11517300000000001,14.6219,21.927,11.5173,4.892,0.0,1170.7787,1143.0991,1102.6032,1082.1933,1071.3227,137.661,143.1571,9368.4582,5779.1867,3389.6431,3119.2652,84.8333,77.6714,3401.0723,2827.8477,1502.9385,918.1473,61.005,8.4556,4996.311777723137,2820.1677,2.8957358523880994,1.7716363938656106,2031.0210478549338,2.4387,0,0,0.19004154894465683,0.09946754851383643
